step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
156,4.992,66.16317,201.920985,0.034292,0.034292,0.034653,0.034393,0.3,0.3,67.623147,64.12852,5.06796,6.05392,0.0,0.358258,TURN_LEFT
157,5.024,64.742473,199.137455,0.034654,0.034487,0.034654,0.034487,0.3,0.3,64.424779,67.128879,4.98632,6.13556,0.0,0.358258,TURN_LEFT
158,5.056,70.790797,195.900566,0.035075,0.034698,0.03478,0.034698,0.3,0.3,66.416591,70.921131,4.91096,6.21092,0.0,0.358258,TURN_LEFT
159,5.088,69.149531,70.59869,0.3,0.3,0.114346,0.3,0.3,0.3,66.888773,71.693282,4.82932,6.29884,6.4e-05,0.358258,TURN_LEFT
160,5.12,65.601372,67.102271,0.3,0.3,0.170042,0.3,0.3,0.3,62.530946,72.152485,4.74768,6.3742,-6.4e-05,0.545455,TURN_LEFT
161,5.152,64.87302,64.230161,0.3,0.3,0.20903,0.3,0.3,0.3,67.529097,60.944838,4.66604,6.45584,0.0,0.427083,TURN_LEFT
162,5.184,71.11839,64.016749,0.3,0.3,0.236321,0.3,0.3,0.3,68.951452,63.301802,4.59068,6.5312,0.0,0.385403,TURN_LEFT
163,5.216,65.673486,59.832674,0.3,0.3,0.255424,0.3,0.3,0.3,68.659896,69.305437,4.50904,6.61284,0.0,0.369246,TURN_LEFT
164,5.248,69.137237,66.472637,0.3,0.3,0.268797,0.3,0.3,0.062874,66.073649,93.483638,4.4274,6.69448,0.0,0.362751,TURN_LEFT
165,5.28,66.503099,65.775504,0.3,0.3,0.278158,0.3,0.3,0.05753,71.744548,108.019404,4.34576,6.77612,0.0,0.360103,TURN_LEFT
166,5.312,71.925904,68.813341,0.3,0.3,0.284711,0.3,0.3,0.051104,68.682497,118.243501,4.2704,6.85148,0.0,0.359017,TURN_LEFT
167,5.344,70.527572,69.290705,0.3,0.3,0.289297,0.3,0.3,0.049607,61.106063,121.493102,4.18876,6.93312,0.0,0.35857,FORWARD
168,5.376,70.303676,61.78794,0.3,0.299504,0.292508,0.299504,0.3,0.045734,66.115257,136.223195,4.20132,6.99592,0.000772,0.358386,FORWARD
169,5.408,60.213861,67.935205,0.3,0.299145,0.294756,0.299145,0.3,0.048254,63.895276,126.639429,4.22016,7.05872,0.000837,0.358311,FORWARD
170,5.44,69.748253,67.629094,0.3,0.298956,0.296329,0.298956,0.3,0.045191,66.376282,138.287388,4.23272,7.12152,0.000772,0.358279,FORWARD
