step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,side_danger,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
117,3.744,69.029483,75.427972,0.067767,0.067767,0.3,0.205011,0.067767,0.3,0.3,62.293776,70.947995,4.52788,4.37716,0.000772,0.385403,FORWARD
118,3.776,71.961178,71.592885,0.3,0.3,0.068583,0.233507,0.3,0.3,0.068583,70.564307,72.418735,4.56556,4.41484,0.000772,0.545455,FORWARD
119,3.808,65.528635,60.268952,0.3,0.299649,0.3,0.253455,0.299649,0.3,0.3,68.204735,64.940765,4.56556,4.4902,0.000772,0.545455,FORWARD
120,3.84,71.336923,64.644785,0.3,0.299319,0.3,0.267419,0.299319,0.3,0.3,66.015691,65.987684,4.60324,4.53416,0.000837,0.427083,FORWARD
121,3.872,64.999796,61.885832,0.3,0.299067,0.3,0.277193,0.299067,0.3,0.3,66.737778,66.830074,4.6472,4.57184,0.000837,0.385403,FORWARD
122,3.904,74.617327,68.358355,0.067987,0.067987,0.3,0.214431,0.067987,0.3,0.3,66.424424,67.773168,4.68488,4.60952,0.000772,0.369246,FORWARD
123,3.936,72.983748,70.766018,0.06843,0.067878,0.3,0.170631,0.067878,0.3,0.3,66.752802,61.350847,4.72256,4.6472,0.000772,0.545455,FORWARD
124,3.968,72.23577,70.875981,0.3,0.3,0.068368,0.209442,0.3,0.068368,0.3,73.213151,72.270526,4.76024,4.68488,0.000772,0.427083,FORWARD
125,4.0,64.867244,60.780977,0.3,0.299649,0.068364,0.236609,0.299649,0.068364,0.3,73.227501,61.833702,4.8356,4.68488,0.000772,0.545455,FORWARD
126,4.032,69.710006,65.077854,0.3,0.299356,0.3,0.255626,0.299356,0.3,0.3,65.117688,62.366135,4.91096,4.68488,0.000772,0.427083,FORWARD
127,4.064,66.489142,67.379608,0.3,0.29909,0.3,0.268938,0.29909,0.3,0.3,67.359157,65.39611,4.94864,4.72884,0.000837,0.385403,FORWARD
128,4.096,60.854482,66.94879,0.3,0.298939,0.3,0.278257,0.298939,0.3,0.3,60.769127,65.393366,4.98632,4.76652,0.000772,0.369246,FORWARD
129,4.128,72.253771,66.703247,0.3,0.298832,0.3,0.28478,0.298832,0.3,0.3,70.145342,69.027887,5.024,4.8042,0.000772,0.362751,FORWARD
130,4.16,69.964204,68.891099,0.3,0.298758,0.3,0.289346,0.298758,0.3,0.3,69.367314,68.21567,5.06168,4.84188,0.000772,0.360103,FORWARD
131,4.192,61.674487,67.837627,0.3,0.298709,0.3,0.292542,0.298709,0.3,0.3,66.079474,71.771573,5.09936,4.87956,0.000772,0.359017,FORWARD
